grafico_000.bin 9a8000 0af3 0d0af3
grafico_001.bin 9a8af3 1a3a 0d252d
grafico_002.bin 9aa52d 08d7 0d2e04
grafico_003.bin 9aae04 0e57 0d3c5b
grafico_004.bin 9abc5b 068a 0d42e5
grafico_005.bin 9ac2e5 05c9 0d48ae
grafico_006.bin 9ac8ae 0264 0d4b12
grafico_007.bin 9acb12 0da8 0d58ba
grafico_008.bin 9ad8ba 0280 0d5b3a
grafico_009.bin 9adb3a 01ba 0d5cf4
grafico_010.bin 9adcf4 0c98 0d698c
grafico_011.bin 9ae98c 0015 0d69a1
grafico_012.bin 9ae9a1 4fb1 0db952
grafico_013.bin 9bb952 6264 0e1bb6
grafico_014.bin 9c9bb6 4dfe 0e69b4
grafico_015.bin 9ce9b4 0b69 0e751d
grafico_016.bin 9cf51d 6390 0ed8ad
grafico_017.bin 9dd8ad 02e5 0edb92
grafico_018.bin 9ddb92 027d 0ede0f
grafico_019.bin 9dde0f 2600 0f040f
grafico_020.bin 9e840f 02d8 0f06e7
grafico_021.bin 9e86e7 15aa 0f1c91
grafico_022.bin 9e9c91 1be9 0f387a
grafico_023.bin 9eb87a 01e9 0f3a63
grafico_024.bin 9eba63 02c3 0f3d26
grafico_025.bin 9ebd26 0144 0f3e6a
grafico_026.bin 9ebe6a 0aa5 0f490f
grafico_027.bin 9ec90f 36cf 0f7fde
grafico_028.bin 9effde 0210 0f81ee
grafico_029.bin 9f81ee 1327 0f9515
grafico_030.bin 9f9515 04ae 0f99c3
grafico_031.bin 9f99c3 0852 0fa215
grafico_032.bin 9fa215 0fa9 0fb1be
grafico_033.bin 9fb1be 0414 0fb5d2
grafico_034.bin 9fb5d2 047e 0fba50
grafico_035.bin 9fba50 0548 0fbf98
grafico_036.bin 9fbf98 03a1 0fc339
grafico_037.bin 9fc339 032d 0fc666
grafico_038.bin 9fc666 033d 0fc9a3
grafico_039.bin 9fc9a3 4d12 1016b5
grafico_040.bin a096b5 10f2 1027a7
grafico_041.bin a0a7a7 0154 1028fb
grafico_042.bin a0a8fb 083f 10313a
grafico_043.bin a0b13a 05a0 1036da
grafico_044.bin a0b6da 05ab 103c85
grafico_045.bin a0bc85 1281 104f06
grafico_046.bin a0cf06 17de 1066e4
grafico_047.bin a0e6e4 0799 106e7d
grafico_048.bin a0ee7d 0ad4 107951
grafico_049.bin a0f951 1135 108a86
grafico_050.bin a18a86 09d1 109457
grafico_051.bin a19457 04d0 109927
grafico_052.bin a19927 0605 109f2c
grafico_053.bin a19f2c 01cf 10a0fb
grafico_054.bin a1a0fb 0167 10a262
grafico_055.bin a1a262 64a8 11070a
grafico_056.bin a2870a 0210 11091a
grafico_057.bin a2891a 0469 110d83
grafico_058.bin a28d83 056f 1112f2
grafico_059.bin a292f2 0653 111945
grafico_060.bin a29945 025a 111b9f
grafico_061.bin a29b9f 1722 1132c1
grafico_062.bin a2b2c1 0649 11390a
grafico_063.bin a2b90a 0801 11410b
grafico_064.bin a2c10b 06b1 1147bc
grafico_065.bin a2c7bc 09c3 11517f
grafico_066.bin a2d17f 0139 1152b8
grafico_067.bin a2d2b8 01b9 115471
grafico_068.bin a2d471 44a5 119916
grafico_069.bin a39916 0639 119f4f
grafico_070.bin a39f4f 0543 11a492
grafico_071.bin a3a492 038b 11a81d
grafico_072.bin a3a81d 0caa 11b4c7
grafico_073.bin a3b4c7 1346 11c80d
grafico_074.bin a3c80d 0406 11cc13
grafico_075.bin a3cc13 03f8 11d00b
grafico_076.bin a3d00b 047d 11d488
grafico_077.bin a3d488 0313 11d79b
grafico_078.bin a3d79b 069c 11de37
grafico_079.bin a3de37 004d 11de84
grafico_080.bin a3de84 0672 11e4f6
grafico_081.bin a3e4f6 1c77 12016d
grafico_082.bin a4816d 17e6 121953
grafico_083.bin a49953 0647 121f9a
grafico_084.bin a49f9a 03ff 122399
grafico_085.bin a4a399 0316 1226af
grafico_086.bin a4a6af 089f 122f4e
grafico_087.bin a4af4e 0302 123250
grafico_088.bin a4b250 01d2 123422
grafico_089.bin a4b422 04ec 12390e
grafico_090.bin a4b90e 012a 123a38
grafico_091.bin a4ba38 01b0 123be8
grafico_092.bin a4bbe8 0ede 124ac6
grafico_093.bin a4cac6 1b31 1265f7
grafico_094.bin a4e5f7 0659 126c50
grafico_095.bin a4ec50 0451 1270a1
grafico_096.bin a4f0a1 3d55 12adf6
grafico_097.bin a5adf6 18b8 12c6ae
grafico_098.bin a5c6ae 05c8 12cc76
grafico_099.bin a5cc76 0237 12cead
grafico_100.bin a5cead 0346 12d1f3
grafico_101.bin a5d1f3 0084 12d277
grafico_102.bin a5d277 0077 12d2ee
grafico_103.bin a5d2ee 016d 12d45b
grafico_104.bin a5d45b 033c 12d797
grafico_105.bin a5d797 1340 12ead7
grafico_106.bin a5ead7 170e 1301e5
grafico_107.bin a681e5 021e 130403
grafico_108.bin a68403 07be 130bc1
grafico_109.bin a68bc1 01c0 130d81
grafico_110.bin a68d81 5912 136693
grafico_111.bin a6e693 0288 13691b
grafico_112.bin a6e91b 019c 136ab7
grafico_113.bin a6eab7 0520 136fd7
grafico_114.bin a6efd7 03dd 1373b4
grafico_115.bin a6f3b4 0137 1374eb
grafico_116.bin a6f4eb 0397 137882
grafico_117.bin a6f882 02c8 137b4a
grafico_118.bin a6fb4a 007c 137bc6
grafico_119.bin a6fbc6 007c 137c42
grafico_120.bin a6fc42 0267 137ea9
grafico_121.bin a6fea9 0281 13812a
grafico_122.bin a7812a 01c1 1382eb
grafico_123.bin a782eb 01dd 1384c8
grafico_124.bin a784c8 01a8 138670
grafico_125.bin a78670 01d0 138840
grafico_126.bin a78840 0536 138d76
grafico_127.bin a78d76 0628 13939e
grafico_128.bin a7939e 0be0 139f7e
grafico_129.bin a79f7e 0482 13a400
grafico_130.bin a7a400 1596 13b996
grafico_131.bin a7b996 0aae 13c444
grafico_132.bin a7c444 0fd9 13d41d
grafico_133.bin a7d41d 0750 13db6d
grafico_134.bin a7db6d 064d 13e1ba
grafico_135.bin a7e1ba 02e7 13e4a1
grafico_136.bin a7e4a1 0497 13e938
grafico_137.bin a7e938 0729 13f061
grafico_138.bin a7f061 1b52 140bb3
grafico_139.bin a88bb3 02f4 140ea7
grafico_140.bin a88ea7 0109 140fb0
grafico_141.bin a88fb0 05db 14158b
grafico_142.bin a8958b 127e 142809
grafico_143.bin a8a809 05cc 142dd5
grafico_144.bin a8add5 00eb 142ec0
